STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,LATITUDE,LONGITUDE
Bob's Liquors & Groceries,957,86492,10001,A,5069 W MADISON ST,60644,AUSTIN,25,28,17031252201,170312522011000,41.8802960895,-87.7524941982
Quick Stop Food Mart,39791,3604,3000,B,2751 W PRATT BLVD,60645,WEST RIDGE,2,50,17031020601,170310206011001,42.0047500731,-87.6994227766
Whole Foods,41674,5033,68000,A,1340 S CANAL ST,60607,NEAR WEST SIDE,28,2,17031841900,170318419002092,41.8645211937,-87.6393040996
Cermak Produce,1515206,279468,25000,A,5220 S PULASKI RD,60632,WEST ELSDON,62,23,17031620200,170316202001000,41.7979918700,-87.7234437408
Whole Foods,54059,86298,4501,B,3300 N ASHLAND AVE,60657,LAKE VIEW,6,44,17031062500,170310625001000,41.9415658578,-87.6688604029
Patel Bros,25338,88729,5000,B,2610 W DEVON AVE,60659,WEST RIDGE,2,50,17031020602,170310206023013,41.9977473006,-87.6952511581
Ohio Food Mart,1225367,243092,3500,B,5345 W OHIO ST,60644,AUSTIN,25,37,17031251500,170312515002004,41.8910492873,-87.7597328373
Joe's Food & Liquor,822,154,3500,B,3626 W LAWRENCE AVE,60625,ALBANY PARK,14,39,17031140301,170311403011011,41.9684452460,-87.7194165758
Two Blue Foods Inc,66710,20549,3000,B,702 E 100TH PL,60628,PULLMAN,50,8,17031500100,170315001004015,41.7124037870,-87.6051275894
Jewel Food Store,1353385,259,64285,A,2520 N NARRAGANSETT AVE,60639,BELMONT CRAGIN,19,36,17031831500,170318315001045,41.9262969563,-87.7856948240
200 Liquors,48663,17055,5000,B,204 E 47TH ST,60653,GRAND BOULEVARD,38,3,17031381500,170313815001007,41.8094238941,-87.6209518020
Carniceria La Gloria,1471030,271545,6500,B,2551 W 51ST ST,60632,GAGE PARK,63,14,17031630500,170316305001004,41.8009692763,-87.6887220987
Whole Foods,1678043,86298,11310,A,1101 S CANAL ST,60607,NEAR WEST SIDE,28,2,17031841900,170318419002074,41.8688897111,-87.6390989281
Peterson Food Mart,1272746,251347,2500,B,2534 W PETERSON AVE,60659,WEST RIDGE,2,50,17031020802,170310208021019,41.9905852147,-87.6935345218
Stanley's,15042,6609,10001,A,1558 N ELSTON AVE,60622,WEST TOWN,24,32,17031842300,170318423001025,41.9105746696,-87.6622352294
Food 4 Less,1884255,251246,58000,A,4821 W NORTH AVE,60639,AUSTIN,25,37,17031250800,170312508001000,41.9095051477,-87.7469599363
Commercial Grocery,56894,23932,2500,B,3004 E 100TH ST,60617,SOUTH DEERING,51,10,17031510100,170315101002007,41.7134978435,-87.5507331066
Jewel Food Store,1953613,259,62603,A,11730 S MARSHFIELD AVE,60643,MORGAN PARK,75,34,17031750500,170317505004003,41.6803322053,-87.6625846787
"La Unica Food Mart, Inc.",491,90,5000,B,1515 W DEVON AVE,60660,EDGEWATER,77,40,17031030200,170310302004002,41.9979934597,-87.6684278857
Mid Town Foods,39968,15264,3520,B,3855 W DIVISION ST,60651,HUMBOLDT PARK,23,27,17031231200,170312312004002,41.9025838739,-87.7236192485
"7400 S Halsted Food And Liquors, Inc.",980,186,10001,A,7400 S HALSTED ST,60621,ENGLEWOOD,68,17,17031681300,170316813003005,41.7596745819,-87.6444202389
Three Brother,6321,62766,10001,A,900 N FRANCISCO AVE,60622,WEST TOWN,24,26,17031242700,170312427001004,41.8981068159,-87.6993783779
Cuenca's Bakery & Groceries,1619464,292181,4500,B,4229 W MONTROSE AVE,60641,IRVING PARK,16,38,17031160300,170311603003002,41.9607675196,-87.7339469271
Jewel Food Store,1409,259,35000,A,4660 W IRVING PARK RD,60641,PORTAGE PARK,15,45,17031831700,170318317001021,41.9535544384,-87.7450553112
Roman Bros 1 Inc,11900,5925,10001,A,6978 N CLARK ST,60626,ROGERS PARK,1,49,17031010702,170310107022004,42.0088564722,-87.6740803740
Tai Nam Corporation,34508,88874,10001,A,4925 N BROADWAY,60640,UPTOWN,3,48,17031031200,170310312002004,41.9722135570,-87.6596091001
La Jaliscience,4749,23661,3000,B,3239 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031840800,170318408001002,41.8443879922,-87.7064970959
Hollywood Tower Mkt,1858,62539,3000,B,5701 N SHERIDAN RD,60660,EDGEWATER,77,48,17031030604,170310306042001,41.9856384210,-87.6550943233
A & R Food Mart,1954411,340750,3500,B,5952 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,170311913021018,41.9205964582,-87.7751926809
S. S. Food & Liquor,1476109,272992,2703,B,2427 N CLARK ST,60614,LINCOLN PARK,7,43,17031070101,170310701012002,41.9263716974,-87.6408000783
S L Pantry & Grill,2013420,17935,2600,B,4759 N SHERIDAN RD,60640,UPTOWN,3,46,17031031501,170310315012001,41.9690466747,-87.6546740590
Andys Fruit Ranch,1275209,3868,15000,A,4733 N KEDZIE AVE,60625,ALBANY PARK,14,33,17031140800,170311408005008,41.9676291597,-87.7083036873
Whole Foods,1273445,5033,39000,A,1 N HALSTED ST,60661,NEAR WEST SIDE,28,27,17031280100,170312801001038,41.8818156316,-87.6472147170
Save-a-lot,1299911,216203,,A,3939 W OGDEN AVE,60623,NORTH LAWNDALE,29,22,17031843400,170318000000000,41.8512884900,-87.7238508400
W K R B Food & Liquor,25165,10242,4340,B,9361 S COTTAGE GROVE AVE,60619,CHATHAM,44,8,17031440800,170314408002017,41.7238602893,-87.6043647208
